https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC,tradecount
1623801600000,2021-06-16 00:00:00,ETH/BTC,0.06335500,0.06339700,0.06297300,0.06324000,2205.72100000,139.29106620,3612
1623715200000,2021-06-15 00:00:00,ETH/BTC,0.06370400,0.06520000,0.06296700,0.06334900,149346.69500000,9585.71990033,194293
1623628800000,2021-06-14 00:00:00,ETH/BTC,0.06430600,0.06464600,0.06238900,0.06369900,163306.55700000,10377.26965430,215381
1623542400000,2021-06-13 00:00:00,ETH/BTC,0.06669200,0.06759900,0.06354000,0.06430600,142796.28800000,9358.07029963,199568
1623456000000,2021-06-12 00:00:00,ETH/BTC,0.06306000,0.06817700,0.06279300,0.06669600,185466.09200000,12266.58278980,220340
1623369600000,2021-06-11 00:00:00,ETH/BTC,0.06738500,0.06749900,0.06272000,0.06305800,162635.09700000,10652.04678896,218838
1623283200000,2021-06-10 00:00:00,ETH/BTC,0.06981200,0.06992100,0.06689600,0.06739600,176599.50400000,12047.53173233,228578
1623196800000,2021-06-09 00:00:00,ETH/BTC,0.07512300,0.07530800,0.06931000,0.06982100,238348.30500000,17186.49131372,333147
1623110400000,2021-06-08 00:00:00,ETH/BTC,0.07724900,0.07757200,0.07431300,0.07512400,182142.57000000,13793.31253411,305348
1623024000000,2021-06-07 00:00:00,ETH/BTC,0.07575200,0.07759400,0.07548000,0.07723700,163761.04300000,12548.35044951,266688
1622937600000,2021-06-06 00:00:00,ETH/BTC,0.07398900,0.07596100,0.07362600,0.07573700,120623.42300000,9034.00525437,204804
1622851200000,2021-06-05 00:00:00,ETH/BTC,0.07301300,0.07500000,0.07260000,0.07398600,143662.75200000,10568.89873577,242495
1622764800000,2021-06-04 00:00:00,ETH/BTC,0.07280500,0.07360000,0.07109200,0.07300200,150735.50600000,10881.57890375,264347
1622678400000,2021-06-03 00:00:00,ETH/BTC,0.07202800,0.07371700,0.07157100,0.07281100,163383.68700000,11868.07127739,263921
1622592000000,2021-06-02 00:00:00,ETH/BTC,0.07179000,0.07353300,0.07088600,0.07202600,154246.67600000,11155.59933187,259597
1622505600000,2021-06-01 00:00:00,ETH/BTC,0.07266800,0.07285800,0.07035900,0.07179300,181701.32700000,12980.04200521,298898
1622419200000,2021-05-31 00:00:00,ETH/BTC,0.06693300,0.07276100,0.06601400,0.07266800,253940.17500000,17600.78640017,380039
1622332800000,2021-05-30 00:00:00,ETH/BTC,0.06585600,0.06847500,0.06511000,0.06692700,186924.73900000,12534.97047756,280266
1622246400000,2021-05-29 00:00:00,ETH/BTC,0.06765000,0.07011000,0.06504700,0.06584800,229759.77400000,15597.80874415,349824
1622160000000,2021-05-28 00:00:00,ETH/BTC,0.07119300,0.07159400,0.06700000,0.06765700,261508.25200000,18226.00791241,426313
1622073600000,2021-05-27 00:00:00,ETH/BTC,0.07352900,0.07374000,0.07036800,0.07118900,190468.95500000,13599.74020175,321909
1621987200000,2021-05-26 00:00:00,ETH/BTC,0.07057000,0.07358000,0.06930400,0.07352900,272406.81500000,19391.43947763,444023
1621900800000,2021-05-25 00:00:00,ETH/BTC,0.06826600,0.07099900,0.06484000,0.07056600,332450.80900000,22586.92654851,523690
1621814400000,2021-05-24 00:00:00,ETH/BTC,0.06048300,0.06846100,0.05988100,0.06822500,419857.53100000,26829.02800148,630999
1621728000000,2021-05-23 00:00:00,ETH/BTC,0.06127300,0.06259000,0.05533200,0.06048400,523051.84700000,30882.98180964,711587
1621641600000,2021-05-22 00:00:00,ETH/BTC,0.06524500,0.06556000,0.05993500,0.06127300,347449.02100000,21715.21733405,534801
1621555200000,2021-05-21 00:00:00,ETH/BTC,0.06831100,0.07035700,0.06270000,0.06525300,386120.81100000,25652.06987278,613904
1621468800000,2021-05-20 00:00:00,ETH/BTC,0.06655900,0.07069600,0.06094100,0.06829900,448935.32000000,29892.86923709,754506
1621382400000,2021-05-19 00:00:00,ETH/BTC,0.07876200,0.07942800,0.06100000,0.06654000,804099.17400000,56836.34203517,1201493
1621296000000,2021-05-18 00:00:00,ETH/BTC,0.07539100,0.07980000,0.07498200,0.07875900,238564.98900000,18496.02729644,383674
1621209600000,2021-05-17 00:00:00,ETH/BTC,0.07715200,0.07878600,0.07401000,0.07538100,302302.75300000,23045.26761725,510698
1621123200000,2021-05-16 00:00:00,ETH/BTC,0.07795900,0.08021900,0.07439500,0.07715200,292505.43500000,22550.91343898,475043
1621036800000,2021-05-15 00:00:00,ETH/BTC,0.08177500,0.08240000,0.07752800,0.07797500,250682.45500000,19949.46221158,412162
1620950400000,2021-05-14 00:00:00,ETH/BTC,0.07488600,0.08207000,0.07445100,0.08177500,282870.19900000,22370.62492830,454530
1620864000000,2021-05-13 00:00:00,ETH/BTC,0.07693200,0.07975700,0.07342800,0.07488800,448829.08800000,34428.35358165,783127
1620777600000,2021-05-12 00:00:00,ETH/BTC,0.07363700,0.08009800,0.07271700,0.07697100,399219.78700000,30275.51120526,658207
1620691200000,2021-05-11 00:00:00,ETH/BTC,0.07071000,0.07370000,0.06894100,0.07364400,256981.81100000,18289.46346048,437879
1620604800000,2021-05-10 00:00:00,ETH/BTC,0.06737500,0.07337700,0.06574200,0.07072200,420706.59900000,29649.24153926,694174
